line,season,episode,character
"Hey, Pam, I'm assistant regional manager, and I can take care of him. Part of my duties are to.",2,12,Dwight
I want him to have all the urine he needs.,2,20,Dwight
I have a sports bra.,1,5,Phyllis
I think it's gonna put a damper on the party a little.,2,5,Pam
She could put the cup right there.,3,23,Jim
Then another woman will get it. We can't allow that. We have to destroy it.,8,12,Phyllis
"OK, bye. Alright Meredith,",8,10,Andy
Jamie!,3,20,Andy
We already said no.,9,9,Phyllis
The only premature baby in this room is the baby this baby ate.,8,13,Oscar
"And spend time with George Emerson. That's what I would do. I mean it's the best male protagonist we've read, right?",4,6,Pam
"If I wanted to hit you, I would have hit you.",6,18,Michael
"Oh, man. You remember that, huh?",7,13,Jim
How did you get in your wheelchair?,2,12,Michael
Really? Wow... that's bad.,3,7,Jim
I’ve been in here for 20 seconds.,8,17,Jim
"I know, I know. I think it's tiny. I think it's too small if anything. And that your glasses make you look ugly.",4,12,Michael
Vroom! Dunder Mifflin. Dunder Mifflin. Good. Sounds- This is Dwight Shrute.,9,6,Dwight
Okay.,6,22,Michael
"Dwight, just, just leave them alone please. They're on a date. They look very happy.",3,10,Michael
I didn't... no.,5,19,Jim
Gonna be fun! Change your mind we can get you a cot.,3,2,Michael
"How about no arms? No arms or legs is basically how you exist right now, Kevin. You don't do anything.",5,13,Michael
Apollo Creed.,3,9,Michael
Attention everyone. Comstock is still available. Oscar has been flirting with adopting him. But still hasn’t given me a definite yes or no.,9,1,Angela
Don't you want to see the baby?,8,13,Oscar
"No, I'm team captain.",1,5,Michael
"Wow, it's so... healthy.",8,13,Oscar
"I bought those boat tickets the day I saw that You Tube video. I knew we'd need a back-up plan. The boat was actually Plan C. The church was Plan B and Plan A was marrying her a long, long time ago. Pretty much the day I met her.",6,4,Jim
"I bet you didn't even bring us anything, did you?AJ Was I supposed to bring you guys something?",7,11,Kevin
"Okay, you know what? That's enough. Because...",5,11,Jim
Mm. Excuse me. Could I get some more water?,9,7,Pam
"Okay. The game is no limit deuce to seven lowball. Lines twenty five fifty, nickels are worth ten, dimes twenty-five, and quarters fifty. Nothing wild.",3,14,Kevin
But you just met her.,4,14,Jim
"I've spent so much of my life telling myself ""Please, don't end up like Stanley,"" and now I'm wondering if I even have what it takes.",8,15,Jim
Because you suck.,9,16,Andy
This was Jim's idea?,6,2,Michael
"I, but if there were, I'd be protected as assistant regional manager?",1,4,Dwight
Free sample?,7,18,Ryan
"Yeah! And the diameter of the Sun is 870,000 miles, which makes it 109 times wider than the Earth, and... 333,000 times heavier than the Earth,...",7,24,Andy
Smart.,7,12,Jim
Oh really.,4,2,Michael
"One time I said good morning to her, and she didn't say it back.",5,2,Phyllis
"Yes, I changed your Cracked magazine subscription.",2,3,Pam
"Hold that thought. Well, well, well. If it isn't Isabel.",6,19,Dwight
"Please, I'll make you proud.",2,3,Dwight
"I, I thought that you would like it.",6,12,Andy
"Invest in softer cotton, sir. OW! Oh! Oooh! oh, whoa!!",8,2,Andy
"Why don't I just take her home and let you guys finish, and then you should stay out as late as you want.",7,3,Erin
"I don't want to work, I just want to bang on this mug all day.",2,6,Michael
Are you all packed?,2,11,Phyllis
"And, I haven't gotten paid yet. I'm not blaming you.",7,2,Pam
I understand. We're all friends.,3,8,Michael
"I had plans to meet a friend tonight. Which I had to cancel. But this is cool, too. I'm not a complainer.",2,7,Jim
Why? I'm not your father. All right.,7,8,Michael
How about a little bit of this.,6,4,Andy
Left.,5,20,Jim
Where do we get those?,2,19,Phyllis
"Shh! Shh! Stay there, stay.",8,3,Oscar
Anything else would be inconsistent.,9,2,Dwight
Who's Amanda Bynes?,3,22,Michael
He thought you were doing an incredible job last month.,6,11,Dwight
What moves?,4,4,Pam
No. That is a ridiculous waste of time.,8,14,Andy
"I like the people I work with generally, with four exceptions. But someone committed a crime and I did not become a Lackawanna County Volunteer Sheriff's deputy to make friends. And by the way, I haven't.",2,20,Dwight
"Well, I can see Andy proposing to Angela. I can also see him proposing to Oscar. Oh...",4,14,Michael
I'm coming.,7,23,Jim
"Let's talk pubes, people.",9,10,Dwight
Not here.,5,4,Angela
You heard that one.,9,2,Jim
Captain Jack is a fart face. I'm on medication.,2,11,Michael
They are into style.,6,7,Michael
"I'm sorry, are you guys nuts? He's not doing great! He was fired! This is terrible! This is literally the worst thing that has ever happened to you, not the best.",8,22,Kevin
Is there any mustard?,3,22,Phyllis
I don't want Dwight!,2,12,Michael
"Ooh, there’s Angela! I work with her!",9,19,Kevin
Okay! Everybody!,2,4,Angela
Can I talk to you a second?,7,17,Jim
They said that they would feel more comfortable if you came along.,6,7,Jim
"Ahh, ooh!",4,11,Michael
"Plus a little extra. Also, I love you.",4,2,Dwight
"Yeah, I gotta call out on that.",3,20,Jim
"Ok, I didn't actually major in Public Speaking. But, I did download speeches from some of history's famous dictators. Like this one . Originally given by Benito Mussolini.",2,17,Jim
Nothing much. Let me ask you something. It's actually little awkward.,2,14,Jim
"Yes, Jim. And with a little tweaking, it becomes a different office. We lure Danny to it and watch him sell.",7,5,Dwight
Saying I love... Saying I love you...,8,4,Andy
--the party planning committee...,6,12,Dwight
"Oh no! Say it's not so, Jo, we're gonna miss you, we're gonna miss you so much!",6,17,Michael
"Hey, nice to meet you.",4,11,Michael
So Sabre has set up a conference room for our use while we're at corporate.,8,14,Dwight
How dare you all attack him like this.,5,13,Dwight
"Hey temp, you know uh, we still got five feet of sandwich left .",2,19,Dwight
We have a history...,2,15,Michael
"Actually, when I was seven, my Dad took me to the Natural History Museum in New York. And we looked at fossils all day. And at the end of the day, he got me a little plastic triceratops. It was awesome.",5,15,Jim
I am also considering Stanley because of all the good that black people have done. For America.,3,22,Michael
"Hey, you were in there forever.",7,14,Erin
"No. This is delightful, charming culture.",3,6,Michael
"Damnit, I need these five days for my honeymoon! Who is slacking?",5,1,Andy
Irony is such a critical...,7,14,Oscar
What am I going to do with the award? Nothing. I-I don't know what I'm going to do. That's the least of my...concerns right now.,2,1,Ryan
"We only had tonight free, and we really wanted to spend it with you.",4,4,Pam
"Yeah. You know, I mean, for all we know it could have been... Jim.",6,24,Andy
Mmhmm.,4,2,Michael
He's already paying for himself.,5,20,Michael
Can't stay there all day.,7,23,Pam
"Well, I am just getting settled in. So, I'm gonna...",3,11,Michael
"But, Michael, Buvon gets to go parasailing every day, and that's fun.",3,11,Kevin
"No, I am, it's all about the personality, Jim.",4,10,Michael
Pam is gonna choose whoever has a scent most like that of her father. Does anyone remember what her dad smelled like?,7,6,Dwight
"Rule number four. In business, image is everything - Andre Agassi. This car is an investment. Right? If I have to take out a client or I'm seen around Scranton in it. I love it. I love this car. Do you like it?",2,4,Michael
"Not much, it's just for tracking Dwight so---",4,5,Jim
Natch.,3,21,Dwight
You hit Pam in the face with a snowball while I watch.,7,11,Dwight
You can pay me back later for the makeover.,3,12,Phyllis
Which would be me.,3,21,Jim
Yours doesn't.,5,12,Dwight
Oh my God.Jim  This close.,5,12,Angela
"So, mom... which birthday are we celebrating this year?",6,8,Pam
"You're not in it at all, because you can't be employee of the month, you're a manager.",6,11,Jim
"Then I saw flashes. Reporters were there. They always find us. And everyone was crying, even his aide.",7,24,Angela
"This close. Dwight, may I speak with you for a minute?",2,6,Michael
We haven't set a date.,1,3,Pam
"Come on, Bob. Raise your hand.",5,16,Phyllis
"Well, well, well, it’s finally happened. Pam has ceased caring.",9,8,Dwight
"Oh, here we go!",7,6,Michael
"Ok, I have an announcement.",4,1,Michael
It's junk!,8,10,Andy
"Excuse me, can I have your attention, everyone? Here's the deal, everybody, Jim Halpert is very upset and disturbed. I don't know if it was something you did, something you said, a look you gave him, maybe it was nothing at all, but here's the deal, ok? It stops now.",5,22,Andy
"I'm sorry, then do you mind explaining a little better? Cause I'm not sure what's really...",4,12,Jim
"Yeah, definitely didn't need help with that, but, yeah.",2,9,Jim
Boner Bomb starring Jason Statham. Or we go against type with an Eisenberg or a Michael Cera.,7,15,Michael
"See, this is what I'm talking about.",7,17,Pam
Guys. Michael can't handle this and as your boss I'm saying we're not watching it.,6,7,Jim
You need to be more upset about this. She's your mother too now. Your mother is sleeping with Michael Scott.,6,6,Pam
"Just a cold sore, thank you. Phyllis, I don't have acne. I have a cold sore. I don't even have a cold. I don't know how I got it.",7,4,Michael
"There’s this balloon that has been floating in the rafters of the warehouse for, like, ever. And, okay, it’s not -- it doesn’t sound cool. You just have to see it.",8,19,Pam
Jim Halpert's off the market. Guess who just became the best looking single guy in the office?,4,2,Andy
"It's a blessing in disguise. Actually, not even in disguise. Sometimes at home, I answer the phone, ""Dunder-Mifflin, this is Pam."" So, maybe that'll stop now.",3,7,Pam
"Oh no, that would be great.",3,10,Jim
"Is she a dress wearer or a pants wearer? Could we share a row boat? Could, could a row boat support her?",4,10,Michael
Charles is going to tell you.,5,18,Michael
I thought you said yesterday was your birthday!,5,15,Dwight
That's what she said.,5,1,Michael
"I have been sitting here for ten years, Michael.",7,17,Dwight
"No, I got that.",6,19,Michael
I'm installing File Share on all the computers.,1,6,Ryan
Are you calling Karen?,4,6,Michael
I feel angry. Angry at you. Angry at you for doing something stupid. Angry at me for believing you could do something not stupid.,4,3,Angela
Come on! It's Dandy Dale and Foppy McGee over there. Mademoiselle! Beer me dos Long Island iced teas s'ill vous plait. Bad decision in a glass.,5,7,Andy
Andy Bernard.,3,8,Michael
Good eye - it's an oval.  You're measuring the table.,4,8,Jim
And it's-,2,1,Dwight
Sure. You like Cosmos?,3,2,Michael
Rachel from the party?,7,15,Darryl
"I just got in. I applied, I go at night.",2,4,Ryan
"Really. Okay, follow-up question. How much are they paying you to keep your mouth shut?",8,8,Dwight
"You did this, didn't you?",1,3,Dwight
Now I know why Michael hated you so much.,9,1,Andy
Oscar? What is going on? What was that?,9,6,Angela
What? Kevin!,7,7,Angela
"I have some, uh, experience. I, um, once had to testify in a traffic accident case.",4,8,Michael
Threatening you? No.,6,15,Ryan
No. They're howling at the moon. It's suggestive to women because of the howling during sex.,6,4,Dwight
"Nobody cares about that. Look, you have to make him commit, or kick his butt to the curb.",7,11,Phyllis
Oh yeah. I decided that acapelca music is awesome.,9,5,Kevin
"Got it, bimbo.",8,13,Erin
"Well, ah, ah...",9,15,Andy
Okay. Angela's having sex with Dwight. I caught them doing it after Toby's going away party.,5,10,Phyllis
"Stanley, I got you some ganja. I'm just kidding. It's coffee. I bet you wish it was ganja.",3,11,Michael
"Hey, do you mind if I take the lead on this one and then you can critique me after?",3,12,Ryan
It turns out that Erin was born in the basic time and region that I gave away a child.,7,24,Phyllis
"Okay, uh, point at the Dunder Mifflin.",5,14,Pam
"Torn scrotum. Still on the mend, so not good timing.",6,16,Andy
"Well my name's Michael Scarn and I'm here to say, I'm about to do The Scarn in a major way. You jump to the right and you shake a hand and you jump to the left and you shake that hand. You meet new friends, and tie that yarn, and that's how you do The Scarn! You jump to the right and you shake a hand and you jump to the left and you shake that hand. You meet new friends, and tie that yarn, and that's how you do The Scarn! You jump to the right and you shake a hand and you jump to the left and you shake that hand. You meet new friends, and tie that yarn, and that's how you do The Scarn!",7,16,Michael
Per diem.,3,2,Michael
I think you mean the aid to Afghanistan.,2,22,Jim
"Chillax, Pam. Stop Pam-M-S-ing. That's pretty good. Um, actually, I'm sending Ryan on a top secret mission. Tell her what it is.",2,6,Michael
Maybe you'd be more comfortable in your own office.,6,22,Erin
"Look at these scones, Jim. Thousands of them. What kind of a person steals scones from a baby?",7,7,Kevin
"Guess whose stock just went up, golden boy?",5,12,Dwight
You wanted to see me?,1,4,Dwight
I'm tying a knot in the stem with my tongue.,6,19,Michael
Roy said the first one didn't count.,2,11,Michael
"I spent so much of my time here at Dunder Mifflin thinking about my old pals, my college a cappella group. The weird thing is now, I’m exactly where I wanna be. I got my dream job at Cornell and I’m still just thinking about my old pals. Only now they’re the ones I made here. I wish there was a way to know you’re in the good old days before you’ve actually left them. Someone should write a song about that.",9,23,Andy
"Oh no, this is different. The CIA thing, that was a prank on Dwight. This is more like a umm... OK, it's pretty much the same thing.",3,10,Jim
I'm in.,2,10,Oscar
"Yeah, I was just sitting here at my desk and I, I reached into my drawer to grab my toothbrush and some tooth powder and, and all of a sudden I was attacked by this blood thirsty rabid creature!",8,10,Dwight
"When I was seven, my mother hired a pony and a cart to come to my house for all the kids... and... I got a really bad rash from the pony, and all the kids got to ride the pony and I had to go inside, and my mother was rubbing cream on me... for probably three hours, and I never came outside. And by the time I got out the pony was already in the truck. And around the corner. So that was my worst birthday.",2,19,Michael
Make a donation.,9,5,Andy
I'm trying!,7,12,Michael
Sorry!,5,20,Pam
"Get it out. Come on, get it out. Get it out.",4,14,Dwight
"Well, th- There's gotta be a way to stop it.",8,6,Andy
I ground up four extra-strength aspirin and put them in Michael's pudding. I do the same thing with my dog to get him to take his heartworm medicine.,2,12,Ryan
"This is the new addition, built my Erasmus Schrute in 1808. It doubled as a tuberculosis recovery room until 2009.",8,6,Dwight
"Maybe, I don't know.",2,11,Michael
Who the heck was that?,7,7,Pam
Have a seat.,4,2,Michael
"So, I guess that's how they're gonna play this. It is on. It is so on.",5,9,Pam
"And hopefully he will walk out, and the rest is out of our hands.",4,3,Michael
"So this is like, um, an organization station... Pam's",2,2,Pam
"Ohh... Judgment is nigh, for the belsnickel ist I!",9,9,Dwight
"Uh, huh. Yes.",1,6,Pam
"Michael, Dwight would like your man meat.",3,14,Jim
You’re telling me!,9,23,Dwight
"Andy, I am getting married in 8 hours.",6,4,Pam
"Aw, man.",5,20,Jim
"OK. Jan is smart. Uh, successful. Good clothes. Hot. Perfect skin. Nice butt.",3,21,Michael
That's pretty cool.,3,21,Jim
"Okay. I will... Dwight and Angela are having an affair, so...",5,11,Michael
I care!,4,3,Angela
"No, you will be tested.",2,20,Dwight
That makes complete sense. Thank you all for a wonderful day.,8,9,Andy
Hallowed ground.,8,8,Dwight
Because some people think you monopolize the conversation by trying to be funny.,4,6,Pam
"Yeah, I guess. But things are going well actually. I spoke at Cornell during commencement week. I mean, the seniors invited me as a joke but it was a huge success.",9,23,Andy
"Michael, I think... you did the best you could, but this is bigger than all of us.",5,10,Jim
Oh my God. Packer. Packster. Whacky Pack. How you doin'?,2,14,Michael
No. Why not do it now?,9,13,Dwight
"Well, take your worst fear and multiply it by infinity.",9,12,Jim
"Hey, whoa, Michael...",2,12,Jim
"Gentlemen, a word. Look, you guys are my closest friends in this office.",4,4,Andy
"This strappy young lad sitting here is Phyllis' father, Albert, and he is quite the ladies' man, aren't you Albert, hah? Ah, ringbearer. I could have done better. I will do better. I am going to be better. I can't believe I'm actually doing this! Ooh! Are you ready for this, Albert? I am. Let's do it.",3,15,Michael
"I have been Michael's #2 guy for about 5 years. And we make a great team. We're like one of those classic famous teams. He's like Mozart, and I'm like Mozart's friend. No. I'm like Butch Cassidy, and Michael is like Mozart. You try and hurt Mozart; you're going to get a bullet in your head courtesy of Butch Cassidy.",2,3,Dwight
How's that gonna help you?,5,13,Jim
How about that one?,2,15,Pam
IHop.,4,14,Michael
"Aw, Dwight. That's really sweet.",9,14,Pam
It's amazing. It's so great. Thank you.,7,11,Ryan
"I'll talk to her, Michael.",7,12,Phyllis
"Great news, Michael. We're now the official paper supplier of the NFL.",6,13,Andy
I do! I do. I do. I do. I do.,9,6,Dwight
"Oh, neat.",8,10,Ryan
Are you really comfortable standing there? I tried one of those and I just never hit the sweet spot.,8,9,Oscar
"Okay, well, this will not do. Toby is going away forever, and uh, we need to do something very very special. In some cultures, when somebody leaves, like New Orleans culture, they have a parade and they have a band and people party in the streets...",4,14,Michael
"You know, I actually think I should get back to work. Jim asked me to do some stuff, and he's manager.",6,15,Erin
"Oh, my God. Go, go, go! Are you insane? Alright.",6,16,Michael
"Oh coffee, that's too much.",5,12,Michael
"All right, all right, shh!",7,12,Michael
Put cold tea bags on your eyes.,4,3,Pam
"I use to love coming here. The chicken parm is good. Big part of my childhood. Oh, maybe Michael will start dating that too.",6,8,Pam
"Yes, yes I do. I love that song. First I was afraid, I was petrified.",5,13,Michael
"Sorry, you're going to have to speak up a little bit louder. I'm hard of hearing.",5,6,Jim
"I traded with Dwight. Just, I figured, you know, you went to a lot of trouble and it means a lot. And also, Roy got me an iPod or was going to get me an iPod, so ..",2,10,Pam
Perfect.,6,16,Jim
This is where Toby announced that he was going to Costa Rica. Happiest day of my life. Until the day you came to replace him. Let's go in here.,7,18,Michael
Sure. What's going on?,7,23,Andy
"Oh, uh oh, I'm turning you down right now.",5,22,Michael
Did you go to first base?,2,8,Jim
"My gift is forthcoming, Pam.",4,14,Michael
Open your mouth. Come on. Don't swallow it.,5,13,Michael
Don't do the twirl.,6,10,Pam
"Great idea! So why doesn't everyone just take the next five to six hours, come up with a statement on why you feel you deserve to go to Florida and Andy and I will listen to it.",8,14,Dwight
Fine. I will give you one minute.,9,4,Andy
Hey man.,5,4,Jim
He envies you.,9,22,Jim
Did you hear Pam is pregnant?,6,1,Michael
It didn't have anything to do with race.,1,2,Pam
I brought them from home! Do you have a red?,7,20,Kevin
I feared Nellie had some sort of a plan but she used a ridiculous font. Huh. You don't have a plan.,9,2,Dwight
Just forget it. Just the urine.,2,20,Michael
This isn't funny. I don't talk like that.,6,20,Kevin
One for you.,8,8,Andy
"Cool, let's start with the banisters.",3,17,Dwight
Michael it's not... It's not...,3,16,Ryan
"Yes, I know, but it's gonna be different.",2,12,Pam
"Please, after the turtle?",9,1,Angela
He needs me. Seat saved infinity.,6,9,Dwight
Awesome perspective. Thanks for butting in.,9,16,Andy
But don't you also have girlfriends in Paris? Like a lot of them?,3,14,Pam
"Check to see if she's faking. If a car hit me, it wouldn't crack my pelvis. You know what; I bet she cracked it at home. Jumped in front of the car to get some workers comp.",4,1,Dwight
Just answer the question. Are you sleeping with Dwight?,5,11,Andy
What the hell is a terrarium?,2,3,Michael
"Apache persuasion hold, that's the hell! What are you doing to my computer?",6,24,Dwight
"Um, somebody vomited right in the middle of the carpet in my office.",2,14,Michael
Hey! Wait. How about a group picture while you're here?,2,21,Michael
What port? The Jan port. The Holly Por...,7,4,Dwight
This guy does it all.,2,2,Michael
You are busy! We're in a meeting!,7,5,Oscar
They're still good for another week.,7,17,Dwight
"Well, this year's gonna be different. We're gonna have fun. It's not gonna be tacky. It's going to be, you know what, the food is going to be austere. It is not going to be tacky, deli platter food. It's not gonna have a big, fat, gross Santa Claus. It's gonna be cool, sleek Santa.",7,11,Michael
Are you drunk?,5,7,Angela
Do you?,3,20,Jim
You don't even know what I'm talking about.,2,9,Phyllis
What? Was I not supposed to say it? What? Turn it back on.,6,12,Michael
"You said the program is not open to Caucasians. Well... anthropologically, she is Indian. Indians migrated from the caucuses region of Europe. Therefore, technically, she is Caucasian. You're welcome, America.",6,21,Dwight
One time we had an ethnic festival in Scranton. One time.,1,2,Pam
It's cheaper.,2,11,Michael
"Um, let me ask you, is there a term besides Mexican that you prefer? Something less offensive?",1,2,Michael
"You know what, I have an idea. Why don't we just do one big shared party?",4,7,Jim
Bull...  Sorry.,3,8,Dwight
And he's really into penguins or something?,2,9,Ryan
I don't know. Feel like... Friday night crowds...,3,18,Jim
"Ok, alright I gotta go.",7,4,Michael
Good luck.,5,6,Pam
"Pam, I am not an unreasonable man. If you guys stay, I will stop watering down the soap.",7,10,Dwight
My resolution? I never want to make Holly cry again. Unless it's from laughing too hard. Or making love too beautifully.,7,12,Michael
"Well, I actually agree with her, I think you should talk to him. And you also might want to explain to Andy that no one wants to help him decide whether or not he has a rash.",4,12,Jim
Uh-huh.,4,2,Michael
Yeah.,3,8,Michael
"Come on, Dwight, stop overreacting. I’m getting all my work done here. No customers have complained. Nobody even knows.",9,12,Darryl
"It's important that this company celebrates its diversity. And you know what, Stanley? Come Kwanzaa time, I have got you covered, baby.",3,6,Michael
However it's normally done.,8,3,Kevin
"Holly doesn't seem to be engaged, but she's talking to AJ like she is. I can't figure it out. Do you think she's already dating a different AJ?",7,12,Michael
"I'm messing with you, Holly.",5,1,Oscar
"Oh, well, I'm already married. Boys don't make passes at girls who wear glasses.",4,12,Phyllis
"Or we can have her buried out at the east field, by mother. Huh, Angela?",4,1,Dwight
David's gone. Alan's gone. We're all gone.,6,12,Michael
Xterra's not even a real word.,3,8,Dwight
"Look, would ya... look.",2,15,Darryl
I am ready to love thy neighbor with these kind of discounts.,7,7,Dwight
Electricity.,5,13,Michael
I have good cards.,2,22,Pam
I'm too depressed to save the big game Billy.,7,16,Michael
MmMm.,9,16,Pam
Hey!Pam's,2,2,Pam
Really? That's weird. We didn't see any.,5,22,Michael
"It was pretty uneventful, actually.",8,13,Jim
You have no idea what you're talking about.,6,23,Michael
Arigatou. This is not a toy. This is a message to the entire office so they can see that I am capable of physically dominating them.,2,6,Dwight
At five? That's only twenty minutes from now. The pie shop is thirteen miles away. So at fifty five miles an hour that just gives us five minutes to spare.,9,4,Kevin
"Hey, can I talk to you guys for a second?",5,23,Jim
Why would you say that?,8,9,Andy
"Okay. Alright, bye Cece.",7,3,Erin
Oh I know.,6,19,Erin
I know. That’s great. It just - it makes it look like there’s an eyebrow in the middle of your face.,9,7,Erin
Bow down before Recyclops.,6,10,Dwight
"Pam, I’m not explaining this to you-- Pam, I’m not going over this again. Co-worker Jim. We need you.",9,12,Jim
We're thinking of collaborating with Mike Schmidt on some of his charity work.,9,9,Jim
I would be remiss if I did not ask the pretty young lady out on a date for this weekend.,6,9,Andy
"Okay, good.",6,16,Erin
"No, I don't have time for this. Are you kidding me?",7,5,Michael
"Yeah, yeah well you definitely need to do that.",7,18,Michael
"Probably, yes.",6,2,Ryan
"Ah, just the stupid leads.",6,18,Michael
You sure?,3,23,Jim
It means like this.,6,5,Dwight
"Yes. But there's, wait, oh, there's a funny ending to that story. I can't remember.",9,2,Pam
"To throw out? Or put out, like, six pieces for everyone?",7,11,Erin
"Plus you have so much more to talk to this girl about, You're both um, salesmen. I mean that's something right there.",1,6,Jim
We got you this.,4,9,Pam
Did you get the yams?,2,12,Michael
Does he die?,2,7,Phyllis
Oh. Whatever it is I like it. Bye.,5,25,Kevin
Hey.,4,14,Jim
"Um, Pam.",7,21,Michael
Fuuuaaaahhhhh... oohhhhh!,2,6,Michael
"I deserved that promotion, not Jim. Oh, man. Makes me want to put him in a triangle choke hold and force him down to the ground and just keep pressing and pressing. And then flip him over and then put him in a hammer lock! And he's gasping, he's panting! Every last breath! And the crowd is going crazy. And boom! I emerge victorious! Aha! $18,000 and a chance at the title! Ooh hah!",6,3,Dwight
Not a viable option.,5,13,Dwight
No. I am going to hold him because I haven't seen him all day.,8,24,Angela
Arrest Jim. He poisoned me.,8,15,Dwight
"Hi, this is Kevin. Stacy? Happy Valentine's Day. Yeah. Oh, awesome. Okay. Yeah, I'll be leaving here soon. Cool. I love you, too. Okay, 'bye. Stacy's back.",2,16,Kevin
"Yeah, at first, I was really disappointed, but I’ve got a great daily routine going right now. I have upped my karate to eight times a week. I’ve added boxing - lunches and on weekends. I do kickboxing three times a week. Krav Maga four times a week. An hour of meditation every morning at sunrise and again at sunset. So yeah, I’m doin’ great.",8,1,Dwight
"Dwight, what the hell? You can't smoke in here.",8,13,Andy
Why am I getting all of the bad ones?,3,20,Angela
Don't try to flirt your way into this. Sometimes you really creep me out.,3,22,Michael
"You are my producer, you are a suit. I am the creative genius. You take care of all the boring stuff, and let my mind just run free.",4,5,Michael
Can you believe who Trump fired?,2,8,Pam
Sick freak! What is wrong with you?,7,21,Michael
"No, no.",2,15,Michael
That is so cool.,2,4,Dwight
Thank you.,6,20,Pam
I'm on official business.,2,1,Dwight
Okay. So yeah.,5,19,Dwight
Haven't you been following the news? Ther university is using its non-profit status to fund its private real estate investments.,5,6,Phyllis
No. It's like two hours and forty-six minutes.,8,8,Erin
Any nuns?,7,4,Michael
"Yep, yep, yep.",9,8,Kevin
"Well, he'll be here really soon, Kev.",4,11,Jim
Best lunch ever! Woo-hoo-hoo-hoo!,5,9,Michael
"What are you doing? No. No, no, no.",8,18,Jim
"I ate a tuna sandwich, on my first day. So, Andy started calling me Big Tuna. ...I don't think any of them actually know my real name.",3,1,Jim
I've only had to use it once.,2,20,Dwight
"You know, Darryl is actually the Foreman here and not Roy, which is cool. There's Roy riding the big rig. So Roy is actually going to be marrying Pam sometime this summer. And... uh, she's our receptionist. Sort of a Brangelina thing.",2,15,Michael
"So, where are you shipping your foot?",2,12,Jim
Yes! Yes! I have so much joy... in my heart... right now. How do I look?,6,4,Michael
Hawkman.,3,12,Michael
Of course you are.,9,17,Dwight
"I’m doing this just for me? Is that what I’m doing? I’m doing it just for me. If that’s what you think, then this is a really sad night. But you know what? I got to go. Okay?",9,12,Jim
"I will get back to the rundown, uh, right now.",5,21,Jim
"Hey, Dwight. You look really nice today.",3,20,Pam
"Yeah, it is, Andy.",8,11,Angela
Second best Bananas Foster I've ever had.,8,16,Dwight
"I also stole something off of her computer. A document called ""Dear Michael.""",5,15,Michael
Or you could fire one of us. Whoever has less education.,5,21,Ryan
What a chubbers. Whoa.,9,22,Kevin
Oh no. Um. What about this Cash For Clunkers thing?,6,5,Michael
J-j-j-ju...,8,8,Darryl
That's... right. He's like Marlon Brando.,6,7,Pam
"Will you stop walking for one second? That's it. There's no other secrets. Ok? I mean yeah, my chest is not naturally hairless, and my parents pay my credit card bill.",6,20,Andy
"""Kapoor and ka-desperate, he watches.""",8,21,Pam
"Oh, I bet.",6,1,Michael
"He's not coming back, it's over Michael.",4,2,Dwight
It’s huge. How much does it weigh?,8,2,Pam
How many words per minute does the average person type?,3,5,Jim
Um.Dwight and,3,2,Michael
He is I.,6,19,Michael
"Do you want that for little Jessica? No, you don't. And the answer is clear. Stop the bus. Okay?",7,7,Michael
Christ Almighty.,2,8,Michael
Whoa! What the--- Why is my girlfriend here?,3,20,Andy
Those are fighting words.,5,8,Dwight
"Um, you're in accounting...",2,8,Michael
20 past 5.,3,5,Pam
Shortcut! Shortcut!  Woah! I fell in the sandtrap!,4,13,Andy
"No, I don’t have AIDS. That’s not what I said. Next question.",9,5,Andy
Pre-conference room meeting with Dwight went really well.,9,22,Jim
What?,6,24,Michael
"Hey. Can I have your attention please? First of all, thanks to everyone for helping put this awesome party together. And a very special shout-out to the chair of the Party Planning Committee, miss Angela Martin. You have outdone yourself.",6,20,Andy
"Thank god. It was nice of him to offer, but I live in a nine bedroom farm house. I have my own crossbow range. It's a perfect situation for me. Although two bathrooms would have been nice, we just have the one. And it's under the porch.",2,3,Dwight
I think you've had enough.,2,11,Angela
It sure looked good on the mannequin.,5,24,Phyllis
"No, Dwight. The Senator.",9,16,Angela
"Angela, you had two sets of different men actually duel over you?",5,16,Oscar
He says Thank you.,9,5,Dwight
"If you gain weight, you will die. I want you to live forever. I want us all to live forever. How? How are we going to do this?",5,1,Michael
"Yup, coming. All right.",8,16,Jim
"So um, I've been thinking about this whole chair/copier thing...",5,9,Pam
"Alright, look. I gotta keep this office functioning somehow. So, I have put together a list, here's your team. Darryl and Phyllis you can have, but you're also taking Kathy, Kelly and Kevin.",8,14,Andy
"Woah, don't get all defensive, alright? It's just a warning. If you want the details, Toby can provide them. You take it easy, alright?",4,12,Ryan
"Uh, yes, I'm in charge. You have to. Look it up.",2,16,Dwight
I'm not really sure what movie you're talking about. Are you sure you got the title right?,2,11,Jim
"Not Michael, E.T.",7,12,Michael
Can't you do something about this?,8,19,Jim
Yeah. Yes!,2,17,Dwight
"No! The hill's a trap. Let's take the dirt road off to the side. Gym instructor No, guys, no. We're just cooling down...",6,22,Dwight
Really?,2,8,Michael
They did this up in Albany...,2,15,Michael
There he is!,9,3,Andy
"Michael, no need to call corporate. We are supposed to use Toby. He's trained as a grief counselor.",3,4,Dwight
"Thanks, Michael. Wait, what is this?",5,22,Dwight
"Well, that was the last time, Dwight. I mean it.",5,1,Angela
