character,line,season,episode
Thomas Dean,I told you I don't want you doing these things in here. You can use your own office or do it in the hall.,4,3
Ryan,"Convergence. Viral marketing. We're going guerrilla. We're takin' it to the streets while keeping an eye on the street. Wall Street. I don't want to reinvent the wheel here. In other words, it is what it is. Buyin' paper just became fun.",4,3
Andy,And this is where I will record your sales.,4,3
Dwight,Hmm. Very nice. Very nice.,4,3
Andy,"And then I will say something positive, like kudos or job well done.",4,3
Jim,Or zipadeedoodaah.,4,3
Andy,I can't tell if he's mocking me.,4,3
Dwight,Just ignore him.,4,3
Andy,"Ehh, can't do that. Really hard for me to let things go.",4,3
Jim,I was... mocking.,4,3
Andy,Thank you.,4,3
Dwight,I just feel like we need something more to acknowledge when I make a sale.,4,3
Andy,Yes like a chime or a bell...,4,3
Jim,Or a gong.,4,3
Dwight,Go to my car. Open the trunk. Inside you will see many pelts. Under the smallest one is a case. Inside that case is a bear horn. Bring it to me.,4,3
Andy,Yes!,4,3
Kevin,Isn't 7 pm a little late for a lunch party?,4,3
Angela,Lunch party? It's supposed to say launch party! What is wrong with you?,4,3
Phyllis,"Angela is worse than usual lately, and we have a party to throw. So I Googled how to deal with difficult people, and I got all of this. So we're gonna try out some new things today.",4,3
Phyllis,So how do you feel about the fact that the banner says lunch?,4,3
Angela,I feel angry. Angry at you. Angry at you for doing something stupid. Angry at me for believing you could do something not stupid.,4,3
Phyllis,"I'm so sorry to hear that, that must be awful.",4,3
Angela,It is awful. You've made this day awful!,4,3
Kevin,Maybe you could just change the U into an A.,4,3
Angela,"Then it would say lanch party, Kevin. Would it really be better if it said lanch party?",4,3
Michael,"Ohh, lunch party.",4,3
Angela,It's supposed to say launch!,4,3
Michael,"Okay, wow! Easy, booster seat, nobody cares about this party anyway.",4,3
Angela,I care!,4,3
Angela,"Plan a party, Angela. Oh! And the entire world will see it. Oh! And here's $65.00 for your budget. Oh and here are four idiots who'll do nothing but weigh you down. Oh. And your cat's still dead.",4,3
Andy,Twenty seconds to go time.,4,3
Dwight,Got it. Carb up.,4,3
Jim,Really? Power gel?,4,3
Dwight,"Hey, you wanna win? You gotta fuel like a winner.s",4,3
Andy,Okay. We start. As soon as I make... this shot. Aaannnddd go!,4,3
Dwight,"Uhyeaahhh! Hello, Susan? Dwight Schrute.",4,3
Jim,What would you say if I told you we could pull a prank on Dwight and at the same time not be working?,4,3
Dwight,Today I'm prepared to give you 15% off our normal prices.,4,3
Jim,What?,4,3
Pam,He's going through a break-up.,4,3
Jim,"Yeah, I'm aware of that. But he's also being super annoying. And I'm not a perfect person.",4,3
Andy,Yeah!,4,3
Dwight,"Three reams! Yoohoo... in your face, machines.",4,3
Pam,What kind of prank are you thinking?,4,3
Dwight,What if I told you I could offer free shipping? Sure. I'll hold.DunMiff/sys Who am I?DwightK,4,3
Schrute,You tell me.,4,3
Jim,Not sure. Just became self-aware. So much to figure out. I think I am programmed to be your enemy. I think it is my job to destroy you when it comes to selling paper.DunMiff/sys Not sure. Just became self-aware. So much to figure out. I think I am programmed to be your enemy. I think it is my job to destroy you when it comes to selling paper.DwightK,4,3
Schrute,How do I know this isn't Jim?DunMiff/sys What is a Jim?,4,3
Dwight,It appears that the website has become alive. This happens to computers and robots sometimes. Am I scared of a stupid computer? Please. The computer should be scared of me! I have been salesman of the month for 13 out of the last 12 months. You heard me right. I did so well last February that Corporate gave me 2 plaques in lieu of a pay raise.,4,3
Michael,Okay.,4,3
Pam,Yes it's too tight.,4,3
Kelly,Waaay too tight.,4,3
Michael,Really?,4,3
Oscar,This is why I'm here?,4,3
Kelly,Why is it so tight?,4,3
Michael,It's the European cut.,4,3
Angela,Is just looks bad.,4,3
Michael,"Umm... hey. Ah, what's hanging?",4,3
Tech Guy,Setting up the web-cam for the party.,4,3
Michael,Oh good. Okay cool. How many pounds do you think I could lose by 7?,4,3
Kelly,Depends... how much have you eaten already today?,4,3
Michael,"I had um, one of those danishes.",4,3
Pam,Dunder Mifflin. This is Pam.,4,3
Kelly,You had carbs? That's awful.,4,3
Pam,"Uh, just one second. We're in a meeting and I'll see if he's available. It's Jan.",4,3
Michael,Why don't you wanna go tonight? What... all your friends are gonna be there. It'll be fun.,4,3
Jan,"My friends? Michael, I was terminated.",4,3
Michael,Just...,4,3
Jan,Is it really that important to you?,4,3
Michael,Yeah.,4,3
Jan,Alright.,4,3
Michael,Thank you.,4,3
Jan,Go by yourself.,4,3
Michael,Na... no. No. If I go by myself everybody will think I'm a big loser.,4,3
Jan,Well...,4,3
Michael,Do I have your permission to invite Carol?,4,3
Jan,What? No Michael!,4,3
Michael,I'm sorry. I'm sorry. It's just the first... girl that popped into my head. I'll find somebody I haven't slept with.,4,3
Dwight,Ohhhhhh!,4,3
Andy,Website check please.,4,3
Meredith,Three hundred and five.,4,3
Andy,Three-oh-five. You my friend are winning handsomely.,4,3
Meredith,Oop. It just made another sale. Three eighty.,4,3
Andy,You my friend are in a very close second.,4,3
Meredith,Four-oh-two.,4,3
Andy,"Okay, uh why don't you just lay off, lady?",4,3
Meredith,"What do you want me to do, not announce it? Four twelve.",4,3
Michael,So. This is the dealio. God has smiled upon me and given me two tickets to the big party in New York tonight. What are you doing this evening? Look at that. They have their own little language now. Like twins.,4,3
Jim,Sure we'll go.,4,3
Michael,Alright. Well fight it out amongst yourselves. I was thinking Pammy but boys night out is also good.,4,3
Jim,Oh I'm sorry. What?,4,3
Pam,One of the tickets is for him.,4,3
Michael,Just let me know who the winner is.Pam and,4,3
Jim,Not it.,4,3
Jim,Nope.,4,3
Pam,I won.,4,3
Jim,Definitely not. If anything it was a tie.,4,3
Pam,Tie goes to the girlfriend.,4,3
Dwight,"No, I realize you normally reorder in November, but what I'm suggesti... you did what? Ah no! That's exactly what you're not supposed to do, damnit! Why would you reorder from a computer when you can have the personal touch of a salesman? Ahhhhh.",4,3
Jim,How's it going?,4,3
Dwight,Fine. Good.,4,3
Jim,Yeah?,4,3
Dwight,Yeah.,4,3
Jim,You look a little worried.,4,3
Dwight,I do not look worried.DunMiff/sys You do look worried.DwightK,4,3
Schrute,Here's a suggestion computer. I assume you read...,4,3
Pam,"Here's a suggestion computer. I assume you read binary so why don't you zero one one, one one one one, zero one one zero one one.",4,3
Jim,"Okay. Um, while you were typing that I searched every database in existence and learned every fact about everything. And mastered the violin. Oop, and sold more paper.",4,3
Angela,I asked for assorted cutlery and I got back spoons. These are worthless.,4,3
Phyllis,I want to understand what you're saying but it's difficult for me when you use that tone.,4,3
Angela,"Phyllis. These are spoooons. Spoons have rounded tops, and are used to scoop things. What we need are forks, which have prongs, or tiny spears on top. And we need knives, which have blades. Do you understand me now?",4,3
Phyllis,Yes.,4,3
Angela,Goodie.,4,3
Jim,Hey man.,4,3
Darryl,What's up man?,4,3
Jim,What's going on?,4,3
Darryl,Make a delivery.,4,3
Jim,Oh yeah?,4,3
Darryl,Kelly ordered this online.,4,3
Dwight,What are you doing? I am in the fight of my life against this computer and every sale counts.,4,3
Kelly,"But you get to put the paper in this little shopping cart and then it says, ""Thanks for shopping at Dunder-Mifflin.""",4,3
Dwight,Damnit Kelly! It knows! It knows what you did!,4,3
Darryl,Who knows?,4,3
Dwight,Return it! Return it now!,4,3
Darryl,Hey! How about instead of yelling at our sweet little Miss Kapoor over five hundred sheets of paper you get back to your desk. Start sellin' multiple reams like a man.,4,3
Dwight,"Y... You don't understand. If... okay, if this makes the difference, I'm gonna tell it that you were responsible.",4,3
Darryl,Who's it?,4,3
Darryl,Here you go.,4,3
Kelly,Thanks.,4,3
Darryl,So you still missing Ryan?,4,3
Kelly,Not so much anymore.,4,3
Darryl,Mmmmm.,4,3
Dwight,"I am not a bad person. When I left Staples, I took some of their leads with me but I never intended to use them. What did I intend to do with them? Who knows? Maybe keep them as a souvenir. Maybe use them.",4,3
Dwight,"Yes, Mr. Galliado. How would you like to pay ten percent less for paper than you're paying right now? It's not important how I got your information. What is important is that you say yes. Good.",4,3
Michael,Alright. I'm ready to go and I'm callin' shotgun.,4,3
Jim,I'm driving?,4,3
Michael,Yes. Thank you.,4,3
Jim,"Alright, let me just say good-bye to Pam.",4,3
Michael,"Oh yeah, you'd better. You better say good-bye to Pam. Say good-bye to Pam. Byyyyyye. I love you.  I love ya Pam... okay.  I'm leavin' inside Jim's car, I don't know when I'll be back again. Yes I do. Tomorrow I'll be back. I'll be back. Tomorrow. Um... yeah. So you know what? Why don't you guys take off a little bit early tonight?",4,3
Angela,Because there's a party! A party for the website I've been planning for two weeks.,4,3
Michael,"If you are not this tall, you may not ride the rollercoaster. See you guys tomorrow.",4,3
Dwight,Perfect. So let me just get some basic information from you. Mmmhmm.DunMiff/sys Oh. I didn't realize we could use the leads we stole from Staples.,4,3
Dwight,"I'm sorry. Am, so sorry. I... yes. Uh, could you repeat that?",4,3
Dwight,Yesss! Ten reams for the US District Court! Did I happen to mention the forty reams for the battered women's shelter?,4,3
Andy,No !,4,3
Dwight,Huh?!,4,3
Angela,Stop it! Gimme that! Give it!,4,3
Dwight,Did you see the board?,4,3
Angela,There's still an hour.,4,3
Michael,You ever read this?,4,3
Jim,"Yep. A long time ago, but, I liked it.",4,3
Michael,"Got it for Ryan. Wanted to get him Oh The Places You'll Go, but they were sold out. Figured...",4,3
Jim,Yeah.,4,3
Michael,Same sort of stuff in here.,4,3
Jim,It's not. It's different. But it's a good book.,4,3
Michael,Mmwa. Mmwa.,4,3
Jim,What was that?,4,3
Michael,Leaving Pennsylvania.,4,3
Jim,Oh. Two kisses.,4,3
Michael,One for me one for Jan.,4,3
Jim,Gotcha.,4,3
Michael,You guys should come over for dinner. You and Pam. That'd be fun. Friday?,4,3
Jim,That would be fun.,4,3
Michael,Wanna come over Friday?,4,3
Jim,Uhhh. Can't.,4,3
Michael,After work you guys...,4,3
Jim,"Oh, no cause... you're gonna let me know when we're close, right?",4,3
Michael,"Yes. Actually I will tell you right now. It's a club called Chatroom, and there's a password to get in, which is actually password. So...",4,3
Jim,Mmmkay...,4,3
Michael,What are you doing?,4,3
Jim,"Uh, that is an invitation to an online party.",4,3
Michael,No.,4,3
Jim,Yep.,4,3
Michael,"No, I'm sure that's not. Na...",4,3
Jim,"Are there, uh, three w's at the beginning of the address?",4,3
Michael,Yes.,4,3
Jim,Yep.,4,3
Michael,"Well the invitation says VIP's only. Is this how you treat your VIP's, Ryan? We're already in the city. The main part with the buildings. What am I supposed to do? What do you want me to do tonight? And if you tell me, that I have to drive back to Scranton, to the satellite party, I am going to throw up! Okay I'm going to throw up. I'm throwing up. You're making me throw up, Ryan.",4,3
Michael,You know what this is like? I'll tell you what this is like. This is like when the Freshmen would throw a party and wouldn't let any of the Seniors go.,4,3
Michael,Doesn't it just piss you off sometimes that that little twerp got the promotion over us?,4,3
Jim,Oh actually I withdrew from consideration.,4,3
Michael,Yeah. I withdrew too.,4,3
Andy,Four! Three! Two! One!,4,3
Dwight,Yes!,4,3
Andy,Woo!,4,3
Dwight,Woo!,4,3
Andy,"After numerous projections that the computer would crush all salesmen in it's path, I am very happy to report that our very own Dwight Schrute has crushed his electronic nemesis, if you will, by a whopping fifty-two reams.",4,3
Dwight,Reams. Wait. Say it. Say it again. Announce it again.,4,3
Andy,Fifty-two reams!,4,3
Dwight,No no no the first part.,4,3
Andy,Dwight has defeated the computer.,4,3
Dwight,Hey. So. What do you think? I did it for you.,4,3
Angela,I didn't ask you to do it for me.,4,3
Dwight,You didn't have to.,4,3
Angela,"How do you tell someone it's over? You send them a notarized letter, right? Well, what if the recipient is your notary?",4,3
Angela,"Hello, Pam.",4,3
Pam,Hello.,4,3
Angela,Hey. Do you have any men that you can fix me up with? I would like to have a relationship with a man.,4,3
Pam,Um... uh... I'll get back to you.,4,3
Angela,Let me know.,4,3
Michael,Alright who wants to party?,4,3
Oscar,Why aren't you in New York?,4,3
Michael,"Ohhh, what? Oh I think I faked Oscar out.",4,3
Stanley,You said you weren't coming back and we could leave early.,4,3
Michael,I think I faked Stanley out too. Who else thought that I was leaving? And they could all go home early? Gotcha. Gotcha. Gotcha. Well who needs New York? Right? We can have a killer party right here in Scranton.,4,3
Angela,Thank you.,4,3
Michael,Nope nope nope no. This is going to be nothing like the party you've been planning. This is going to be good and everybody's gonna come. What's wrong with Dwight?,4,3
Andy,He beat the computer.,4,3
Michael,Oh hey! Good for you. Good for you. Scranton power. Alright you know what? Angela I'd like you to come into my office in ten minutes. Bring something to write with and something to write on. Good.,4,3
Michael,"This was a pretty disappointing day. It was kind of a slap in the face to realize that I wasn't as important as I thought I was to a certain young executive who I cared about. But, you know, I'm not gonna cry over it. I did that in the car on the way home.",4,3
Michael,How we doing on time?,4,3
Angela,The party starts in an hour.,4,3
Michael,Good. These are some things that I would like to have happen.,4,3
Angela,"Beer, lite beer, streamers, orchids. Better lighting?",4,3
Michael,Mmmhmm.,4,3
Angela,Something made of ice?,4,3
Michael,Those are just things. This is how I want it to feel.,4,3
Angela,"Pizza, pizza with mushrooms, pizza without mushrooms, white pizza, steak?",4,3
Michael,"I would like this party to be sexier, cooler, more important...",4,3
Angela,Chocolates? Someone famous?,4,3
Michael,Yes,4,3
Angela,Cool music.,4,3
Michael,Uh...,4,3
Angela,Confetti.,4,3
Michael,I want it...,4,3
Angela,Go-Go dancers?,4,3
Michael,"I want it to embarrass all other parties. I want it to be a party that the guys in New York watch on the web-cam and say, ""Wow! How did they get Al Roker to come?""",4,3
Angela,I can't do this.,4,3
Michael,Yes you can.,4,3
Angela,I can't do it.,4,3
Michael,Yes you can. I know you can. I wouldn't say that if I didn't hundred percent believe it. Who else could do this?,4,3
Angels,Okay. Okay.,4,3
Michael,No seriously. Is there anyone else who could do it better? Because we don't have a lot of time. I'll get the pizza!,4,3
Andy,What do you think of Angela?,4,3
Dwight,I think she's efficient.,4,3
Andy,"No, not like that, as a woman. W-O-M-A-N.",4,3
Dwight,I hadn't noticed.,4,3
Andy,You hadn't noticed she's a woman?,4,3
Andy,"I hear she's single and ready to mingle. I'm thinking about making a play for her. What do you think? Crazy, right?",4,3
Dwight,I think it's inappropriate to date someone you work with.,4,3
Andy,Isn't that part of the fun?,4,3
Dwight,No. I think you should date Kelly.,4,3
Andy,"She works here too, how is that any different?",4,3
Dwight,"Uh, she works in the annex. You're also welcome to date Toby.",4,3
Andy,Okay.,4,3
Michael,Good news.,4,3
Stanley,We get to go home?,4,3
Michael,"Guess who just ordered from your favorite pizza place, Alfredo?",4,3
Kevin,Wait! Alfredo's Pizza Cafe? Or Pizza by Alfredo?,4,3
Michael,Same thing.,4,3
Kevin,"No, no.",4,3
Michael,You know what? I don't understand when you all talk at the same time.,4,3
Kevin,"Oscar, talk to him.",4,3
Oscar,"Michael, there's a very big difference between these two pizza places. Both in quality of ingredients, and overall taste. Which one did you order from?",4,3
Michael,Pizza by Alfredo.,4,3
Michael,"Okay, okay, what's better? A medium amount of good pizza? Or all you can eat of pretty good pizza?",4,3
All,Medium amount of good pizza.,4,3
Kevin,"Oh no, it's bad. It's real bad. It's like eating a hot circle of garbage.",4,3
Phyllis,You can pick one of these things. It's unreasonable for you to ask me to do all of this.,4,3
Angela,It should take no time at all if you put the care into it that you normally do.,4,3
Angela,Ow!,4,3
Phyllis,That seemed to shut her up.,4,3
Andy,Are you looking for dinner and a movie? Because you're not going to find it in that box.,4,3
Andy,"Just so happens that I know where you can find it, but again, not in the box.",4,3
Andy,"Angela, are you hearing words that I'm saying?",4,3
Angela,What?,4,3
Andy,Hello.,4,3
Angela,"I have been working on a party for three weeks that just got thrown out the window. So now I've got to pull together a whole new party, and my useless number two quit, so now there's no one in charge of orchids, chocolates, or the thing that's made of ice. And my upper back itches, and it's itched all day, and I can't reach it, and Kevin had Greek food for lunch again.",4,3
Andy,"They say you should never mix business with pleasure. Really? Well then, explain to me how a putt-putt golf company operates.",4,3
Michael,Yup.,4,3
Pam,The Pizza by Alfredo guy is here.,4,3
Michael,You don't have to say it like that.,4,3
Pam,I said it normal.,4,3
Michael,"HeyPizza guy Hey. Sixty-three fifty, and that's not including tip.",4,3
Michael,"Right, I have a coupon, so half of sixty-three fifty, and half the tip of sixty-three fifty.Pizza guy The half off coupon only applies to orders of two pizzas.",4,3
Michael,"Yeah, I told them on the phone that I was ordering eight pizzas.Pizza guy I don't care what you told them on the phone, that's our policy.",4,3
Michael,You didn't actually think I was going to spend sixty bucks on pizza?,4,3
Oscar,It's not pizza.,4,3
Michael,"Okay, it doesn't say it anywhere on the coupon, and if it's policy, it should say it on the coupon.Pizza guy",4,3
Michael,What do you mean hmm-um?Pizza guy Not my problem.,4,3
Michael,"It is your problem. That's no way to do business, okay? I ordered eight pizzas with a half-off coupon, so I would like eight pizzas for half-off. End of story.Pizza guy Great story. It's sixty-three fifty, and that's not including tip.",4,3
Michael,I'm not giving that to you.Pizza guy Well then you're not getting you're pizzas.,4,3
Michael,"No, no you're not going anywhere. You're staying here until we figure this out.Pizza guy What?",4,3
Michael,"You know what? This young man needs to learn that's not how you treat people. I don't care if it's pizza. Good business is about respect and accountability and follow through. You don't just make promises and pull the rug out from under somebody, do you? Dwight, please escort this young man into the conference room. Right now, get in the conference room.Pizza guy I'm not going in there.",4,3
Michael,"Yes you are, yes you are, and you will come out when you decide to give me a discount on the pizza. Please, thank you.Pizza guy This is stupid.",4,3
Michael,"No, you don't even know what stupid is. It's about to get all stupid up in here.",4,3
Stanley,You find anything?,4,3
Kevin,We think it's a straight forward kidnapping.,4,3
Oscar,"Stanley, could you look up ""accomplices""?",4,3
Stanley,Why can't you guys do it?,4,3
Oscar,Because we're looking up jail time.,4,3
Stanley,Fine.,4,3
Dwight,I've seen this kid before. He's one the kids who sneaks on my farm and steals my hemp.,4,3
Michael,You ready to give me my discount now?Pizza guy No.,4,3
Michael,"Okay, what have you been doing in here this whole time?Pizza guy What kind of business is this?",4,3
Dwight,We're a paper company. The best paper company in the whole wide world.,4,3
Michael,"Alright, Dwight, knock it off. You better think about what you are doing young man.Pizza guy You better think about what you're doing.",4,3
Michael,"No! I'm an adult, I don't have to think or do anything. You're a kid, a little snot-nosed, punk kid who thinks he's better than everyone else, because he's some hot shot, and you don't know anything about sales. So stop being a disrespectful little jerk, okay?Pizza guy Sales?",4,3
Michael,"Yeah sales, you sell pizza. Last time I checked that's called sales.Pizza guy You're such a loser.",4,3
Dwight,What did you just call him?Pizza guy A loser.,4,3
Dwight,What did you say?Pizza guy A loser.,4,3
Michael,"Alright stop, stop making him say it! You just made this worse, a whole lot worse.",4,3
Dwight,"I can make him talk, Michael.",4,3
All,"Michael, Michael",4,3
Michael,Stop talking all at once!,4,3
Jim,You need to let him go.,4,3
Michael,Let go of the little jerk boy before he has learned his lesson?,4,3
Jim,Yes.,4,3
Michael,"You know what Jim, the world would be a better place if people were held accountable for their actions.",4,3
Jim,"Yes, but not by kidnapping.",4,3
Michael,"I'm not kidnapping him, I'm keeping him until I get what I want.",4,3
Jim,As a hostage.,4,3
Michael,I think you're over-thinking it.,4,3
Jim,I think you're under-thinking it.,4,3
Michael,"Yes, is Alfredo there? Can I speak to a manager then? Okay, can you tell the manager that I'm keeping his delivery kid until I get a discount on the eight pizzas I ordered. Yes, I know it is not on the coupon. Also I would like him to throw in two, three pizzas for our...",4,3
Jim,Ransom.,4,3
Michael,"Trouble. Okay, alright.",4,3
Jim,What did he say?,4,3
Michael,He said no.,4,3
Jim,"So, we should let him go.",4,3
Michael,"No, no.",4,3
Jim,Okay.,4,3
Dwight,"Listen up kid.  I don't like you, but because some town in Switzerland says so, you have rights.",4,3
Angela,I have to hang these.Pizza guy Why are you looking at her like that?,4,3
Dwight,Hey!,4,3
Kevin,What's going on?,4,3
Jim,Michael just called the pizza place with a list of demands.,4,3
Michael,"Mister Overdramatic, what's up Kevin?",4,3
Kevin,"We're getting hungry out there. We're all accomplices now anyway, so we figured we might as well eat. We would like to order some good pizza, from Alfredo's Pizza Cafe, while we wait for the hostage situation with the bad pizza to end.",4,3
Angela,"I needed another hour, it could have been done in another hour.",4,3
Meredith,I think it looks good.,4,3
Angela,That's why you're not in charge Meredith.,4,3
Andy,"Here you are my dear, one thing made of ice.",4,3
Angela,"How did you, um, where did you...",4,3
Dwight,"It's just ice, it'll melt all over the floor.",4,3
Angela,Will you help me put it over there?,4,3
Andy,Yes I will.,4,3
Angela,Okay.,4,3
Andy,Excuse me.,4,3
Andy,I stole it!,4,3
Oscar,Thank God.,4,3
Pam,"Michael, Ryan wants to introduce the branch managers in a few minutes. You just have to wave and introduce yourself.",4,3
Michael,I'll just wave and introduce myself.,4,3
Jim,"Hey, quick question. If I take a pizza, do you think you could take some sodas and some napkins up to the roof?",4,3
Pam,I'm all over it.,4,3
Jim,Okay.,4,3
Jim,What have we got here?,4,3
Kevin,Good pizza.,4,3
Jim,"Yeah, cheese, or do we have other flavors?",4,3
Kevin,Different stuff.,4,3
Jim,Which one's this? Perfect.,4,3
Jim,"Do you remember what you said to me on my first day of work, just before you walked me over to my desk?",4,3
Pam,"Yeah, enjoy this moment, because you're never going to go back to this time before you met your desk mate Dwight.",4,3
Jim,And that's when I knew. You?,4,3
Pam,"You came up to my desk, and said, this might sound weird, and there's no reason for me to know this, but that mixed berry yogurt you're about to eat has expired.",4,3
Jim,That was the moment that you knew you liked me?,4,3
Pam,Yep.,4,3
Jim,"Wow, can we make it a different moment?",4,3
Pam,Nope.,4,3
Manager,Can I start talking? Is this thing on? Give me a signal when you want me to start.,4,3
Ryan,"And now from my old hometown, Scranton Pennsylvania, my former boss, Michael Scott.",4,3
Michael,"Hey, I just think you should know that one of my salesmen beat your stupid computer, so take that hole.",4,3
Ryan,"Always a jokester. How about that image? Crystal clear.Pizza guy If anyone out there is listening, I'm being held here against my will. I'm a minor.",4,3
Angela,Ow! What are you doing?,4,3
Andy,You said your upper back itched.,4,3
Angela,I didn't ask you to scratch it.,4,3
Andy,"Look Angela, I know this is weird because we work together, and up until and possibly now I've repulsed you, but I like you.",4,3
Angela,I'm not dating you.,4,3
Andy,"So, Angela is stubborn as a mule, she's giving off fairly strong vibes that she's not interested.",4,3
Andy,"But do I like her or not, because if I like her, then I can't back down.",4,3
Dwight,If you're going number one you've got ten more seconds!,4,3
Michael,"Hey, have you seen Jim?",4,3
Kevin,I guess he wanted to get out of here before the cops find out.,4,3
Dwight,Ahh-chaa!,4,3
Michael,"Whoa, whoa, whoa, whoa, what are you doing?",4,3
Dwight,"I'm just scaring him. The trick is to make him think you're going to do something to him.Pizza guy I can hear you, man.",4,3
Dwight,"Shut up, or I'm going to punch you in the throat!",4,3
Michael,"Hey, hey, hey stop it. Stop it now, God. Oh my God, oh my God, no, no, no. I kidnapped a kid.",4,3
Dwight,"You had to, what other choice did you have?",4,3
Michael,I could have paid for the pizza.,4,3
Dwight,"Well, yeah.",4,3
Michael,"Oh my God, oh my God.",4,3
Michael,This is Michael.,4,3
Ryan,"Hello Michael, this is Ryan, first off thanks for the shout out.",4,3
Michael,You're breaking up. I can't hear you.,4,3
Ryan,Why is there a kid on your webcam saying that he's being held against his...,4,3
Michael,"Mmm-kay. I want you to go in there, and pay him for the pizzas, and give him a generous tip, no more than ten percent.",4,3
Dwight,What will you do?,4,3
Michael,I will open the door.,4,3
Dwight,Yeah.,4,3
Michael,"And hopefully he will walk out, and the rest is out of our hands.",4,3
Dwight,"So, I'm paying full price?",4,3
Michael,Yes.,4,3
Dwight,"Here we go, sixty-five. You know what? There's two more.",4,3
Michael,"See ya, drive safely.",4,3
Michael,Okay.,4,3
Dwight,Now what?,4,3
Michael,"Now we wait, and hopefully nothing happens.",4,3
Dwight,"Alright. Oh, I assume I'm going to be reimbursed for the pizzas.",4,3
Michael,"Not now Dwight, please, it's not the time.",4,3
Jim,"A toast, better make it good. To avoiding a class two felony charge.",4,3
Pam,Ah-ha.,4,3
Andy,"Hello, hey hang on a second. Hello, hang on.",4,3
Andy,"If you change your mind, I'll be first in line. Honey, I'm still free, take a chance on me. If you need me let me know, gonna be around. If you got no place to go, if you're feeling down. If your all alone when the pretty birds have flown, honey I'm still free, take a chance on me. Gonna do my very best, and that ain't no lie, if you put me to the test, if you let me try. Take a chance on me, that's all I ask of you Angela. Take a chance on me.Voice #1 on phone Hey how'd it go?Voice #2 on phone Yeah, what'd she say?",4,3
Andy,"I don't know yet, I have to call you back.Voice #1 on phone You have to give us something...",4,3
Andy,I'll call you back.,4,3
Angela,I have to go clean up after the party.,4,3
Michael,What a horrible day.,4,3
Dwight,Blah.,4,3
Michael,Bluh.,4,3
Dwight,Uhh.,4,3
Michael,"Well, I need to get the horrible taste of this pizza out of my mouth. I'd really like some sushi. I was hoping that I would have New York style sushi today. And you know what?",4,3
Dwight,What?,4,3
Michael,I'm going to get it.,4,3
Dwight,Coopers has calamari.,4,3
Michael,"Uh-uh, no, there is only one place where they authentic New York style sushi.",4,3
Dwight,Tokyo?,4,3
Michael,New York. Wanna go?,4,3
Dwight,Yes.,4,3
Michael,"Alright, you drive.",4,3
Dwight,Okay.,4,3
Dwight,Nice.,4,3
Michael,Here we go.,4,3
Dwight,Woo-hoo.,4,3
Michael,Mmm.,4,3
Dwight,Yum.,4,3
Bartender,"I'm sorry, you guys are going to have to leave.",4,3
Michael,"Hey, you know what? Come on, come on, let's go.",4,3
Man,"Hey, you're the Scranton guy.",4,3
Michael,Guilty.,4,3
Man,I liked your statement tonight.,4,3
Michael,"Oh, thanks. This is the guy that beat the computer.",4,3
Man,"Oh, very cool. It was funny to see Ryan all embarrassed by that.",4,3
Michael,Yeah.,4,3
Man,See you later.,4,3
Dwight,Later on.,4,3
Michael,"I'm Ryan, and tonight didn't go the way that I thought it would, because it didn't work out for me, and I'm very embarrassed. I got egg all over my face.",4,3
Dwight,And I spent so much time in Scranton and I never sold any paper.,4,3
Michael,"I never sold any paper, because I'm an idiot.",4,3
Dwight,I started a fire with my cheese pita.,4,3
Michael,I made it with my cheese pita.,4,3
Dwight,I date Indian girls.,4,3
Michael,"I started a fire, I started a fire.",4,3
Dwight,"Now I've got a beard, and I can do whatever I want, and I'm your boss.",4,3
Michael,"And I'm hot, I'm so hot. That's why everybody...",4,3
Dwight,"I don't get that, I don't understand that.",4,3
Michael,"Well, it's part of it, it's just the... uhhh.",4,3
Michael,Wanna head back?,4,3
Dwight,"Yeah, let's go.",4,3
Dwight,What?,4,3
Jim,Well it's just that you had no hair on Friday.,4,3
Dwight,It's called being a man. You should try it sometime.,4,3
Jim,How long have you been a man?,4,3
Dwight,"I was born a man, Halpert.",4,3
Jim,That must have been extremely uncomfortable for your mom.,4,3
Dwight,"I stopped shaving because my girlfriend broke up with me. Am I in pain? Hell, yeah. But I'll tell you something, I thrive in pain. I love pain. To me, pain is not pain at all. No. It is pure pleasure. And I hate pleasure. Almost as much as I love pain. So, yeah, I'm in pain.",4,3
Andy,What do you think of Angela? There's just something about her. All that strength and steeliness and righteousness all wrapped up tight and shoved into a tiny little delicate frame.,4,3
Andy,"No. I will not be playing it ""cool"" with Angela. Let me tell you a little story. When I was seventeen, I was waitlisted at my number one school. Even though I was a legacy, and I had like a thousand extra-curriculars, mostly drama, madrigals, barbershop club, I was waitlisted. Did I wait, on that list? No, I did not. I busted into the admissions office and I sang them all the reasons they should admit me to the school . And guess what? I. Got. In. And here's the kicker. That school? Cornell.",4,3
Michael,What's wrong with me?,4,3
Pam,Excuse me?,4,3
Michael,"I want you to look at me and tell me what is wrong with me.  Don't avoid this. I know you're dying to say it, so just say it.",4,3
Pam,Sometimes your laziness borders on incompetence.,4,3
Michael,"What, no. No. Okay, bags. I have bags under my eyes, Pam. I didn't see it at home, I didn't see it in the bathroom, I didn't see it on any of the city mirrors, but in this light...",4,3
Pam,"The city mirrors, or the...?",4,3
Michael,"The big, free mirrors that the city puts up, on trees and telephone poles? The big round things.",4,3
Pam,The ones for drivers to check their blind spots?,4,3
